Card ID,Item Deck,Main type,Tags,Card Name,Value,Reputation,Rarity,Effect,Art Notes,Asset File,Status,Balance Notes,Count of Card
RES-ARM-001,Resource,Armament,Blade,Iron Sword,2,0,Common,???,A simple Iron Shortsword,,Idea,,6
RES-ARM-002,Resource,Armament,Blade,Iron Dagger,1,0,Common,???,A simple Iron Dagger,,Idea,,6
RES-ARM-003,Resource,Armament,Blunt,Iron Flail,3,0,Common,???,A simple Iron Flail,,Idea,,6
RES-ARM-004,Resource,Armament,Bow,Simple Bow,2,0,Common,???,A simple looking Bow,,Idea,,6
RES-ARM-005,Resource,Armament,Blunt,Iron Mace,3,0,Common,???,A simple Iron Mace,,Idea,,6
RES-CON-001,Resource,Consumable,Potion,Healing Draught,2,0,Common,Ignore 1 Retaliation,A red liquid in a simple vial.,,Idea,,6
RES-CON-002,Resource,Consumable,Potion,Magic Draught,1,0,Common,Refresh 1 Skill,A blue liquid in a simple vial.,,Idea,,6
RES-CON-003,Resource,Consumable,"Reagent, Herb",Greenbloom,2,0,Common,No Effect,A simple smooth long leaf.,,Idea,,6
RES-CON-004,Resource,Consumable,"Reagent, Monster Part",Nothic Eye,3,0,Common,No Effect,"A large eyeball, green.",,Idea,,6
RES-CON-005,Resource,Consumable,Potion,Energy Draught,3,0,Common,Gain 2 Movement,A green liquid in a simple vial.,,Idea,,6
RES-TRI-001,Resource,Trinket,Jewelry,Brass Ring,2,0,Common,No Effect,A simple Brass ring.,,Idea,,6
RES-TRI-002,Resource,Trinket,Jewelry,Brass Necklace,3,0,Common,No Effect,A simple Brass necklace.,,Idea,,6
RES-TRI-003,Resource,Trinket,Curio,Pocketwatch,1,0,Common,No Effect,A shiny bronze pocketwatch.,,Idea,,6
RES-TRI-004,Resource,Trinket,Curio,Silver Chalice,2,0,Common,No Effect,A silvered chalice.,,Idea,,6
RES-TRI-005,Resource,Trinket,Monster Part,Naga Skull,2,0,Common,No Effect,A long ivory skull.,,Idea,,6
RES-TRA-001,Resource,Trade Good,Food,Meat Steak,2,0,Common,No Effect,A large hunk of meat.,,Idea,,6
RES-TRA-002,Resource,Trade Good,Food,Golden Wheat,1,0,Common,No Effect,Golden wheat in a bundle,,Idea,,6
RES-TRA-003,Resource,Trade Good,Material,Iron Ore,3,0,Common,No Effect,A chunk of iron ore.,,Idea,,6
RES-TRA-004,Resource,Trade Good,Material,Lumber,2,0,Common,No Effect,a piece of lumber,,Idea,,6
